,Company,State,Type of breach,Type of organization,Total Records,Description of incident,Year,Latitude,Longitude
10,Kaiser Permanente,California,DISC,medical,140.0,"A disgruntled employee 
            posted information on her blog noting that Kaiser Permanente included 
            private patient information on systems diagrams posted on the Web. 
            
            UPDATE (6/21/2005): The California Department of Managed 
            Health Care fined Kaiser $200,000 for exposing the confidential health 
            information.",2005,37.804372,-122.270803
11,Boston College,Massachusetts,HACK,educational,120000.0,A hacker gained access to a phone banking database that included alumni addresses and Social Security numbers.,2005,42.358431,-71.059773
12,"University of California, Berkeley",California,PORT,educational,98400.0,"A laptop containing the Social Security numbers of doctoral degree recipients from 1976 to 1999, graduate students enrolled between 1989 and 2003, and graduate school applicants between fall 2001 and spring of 2004 was stolen.  Birth dates and addresses for about one-third of the affected people were also on the laptop.",2005,37.871593,-122.272747
13,Las Vegas Department of Motor Vehicles (LV DMV),Nevada,STAT,governmental,8900.0,"A computer and holographic 
laminate materials were stolen from the Donovan office of the DMV in 
North Las Vegas. UPDATE. The equipment was 
recovered on June 1. ",2005,36.114646,-115.172816
14,"California State University, Chico",California,HACK,educational,59000.0,"A university housing and food service computer server containing names and Social Security numbers of faculty, staff, students, former students, and prospective students was hacked.",2005,39.728494,-121.837478
15,Northwestern University,Illinois,HACK,educational,17500.0,"Hackers gained access to multiple computers and gathered user ID and password information from the University's network.  The personal information for around 500 faculty members, 2000 staff members, and 14,000 alumni was compromised.  ",2005,42.041141,-87.690059
16,"University of Nevada, Las Vegas",Nevada,HACK,educational,5000.0,A hacker was caught accessing the University's server and may have gotten information from the Student Exchange and Visitor Information System (SEVIS).,2005,36.114646,-115.172816
17,Purdue University,Indiana,HACK,educational,1200.0,"Computers in the College              of Liberal Arts' Theater Dept. were hacked, exposing personal information              of employees, students, graduates, and business affiliates.",2005,40.425869,-86.908066
18,"University of California, Davis",California,HACK,educational,1100.0,"The names and Social Security 
            numbers of students, faculty, visiting speakers and staff may have 
            been compromised when a hacker accessed a main computer.",2005,38.544907,-121.740517
19,MCI,Colorado,PORT,online,16500.0,"A laptop containing names and Social Security numbers of current and
former employees was stolen from the car trunk of an MCI financial
analyst.  An MCI spokesperson stated that MCI would continue its policy
of allowing laptops to be taken home by employees and will evaluate new
security technologies.",2005,38.833882,-104.821363
20,"University of California, San Francisco (UCSF)",California,HACK,educational,7000.0,"A server in the accounting 
            and personnel departments was hacked. It contained information on 
            7,000 students, faculty, and staff members. The affected individuals 
            were notified March 23.",2005,37.77493,-122.419416
21,Eastern National,Pennsylvania,HACK,non-governmental,15000.0,"A hacker gained access to a server containing the names, credit card information, and billing addresses of 15,000 customers.  Letters were mailed to all customers who bought products through the educational website for national parks.",2005,40.13845,-75.191799
22,San Jose Medical Group,California,STAT,medical,187000.0,"UPDATE(10/10/07): 
              A former branch manager at the San Jose Medical Group has been sentenced 
              to almost two years in prison for stealing medical records for about 
              187,000 patients. The accused pleaded guilty in May to one count 
              of health care-related theft after he stole computer equipment from 
              his former employer, including a DVD that contained patients' names, 
              Social Security numbers, medical diagnoses and other information.",2005,37.339386,-121.894956
23,Tufts University,Massachusetts,HACK,educational,106000.0,The University's donor database was breached sometime in late 2004.  The database was managed by a software company for nonprofit organizations named RuffaloCODY.  Letters were sent to the alumni who may have had their personal information stolen.,2005,42.358431,-71.059773
24,"Polo Ralph Lauren, HSBC",New York,HACK,social,180000.0,"Credit card data was stolen. Individuals holding the HSBC-issued General Motors Mastercard were told their cards should be replaced.              UPDATE(07/10/07): U.S. Secret Service 
              agents found Ralph Polo Lauren customers' credit card numbers in 
              the hands of Eastern European cyber thieves who created high-quality 
              counterfeit credit cards. Victims are from the U.S., Europe, Asia 
              and Canada, among other places, Several Cuban nationals in Florida 
              were arrested with more than 200,000 credit card account numbers.",2005,40.714269,-74.005973
25,California Department of Health Services,California,PORT,governmental,21600.0,"A laptop containing the names, Social Security numbers, and medical information of Medi-Cal beneficiaries was stolen from the car trunk of an employee.  The Department of Health Services began notifying beneficiaries in late May.",2005,38.581572,-121.4944
26,TD Ameritrade,Nebraska,PORT,financial,200000.0,"A backup tape was lost, stolen, or accidentally destroyed while being shipped.  The tape contained account information from clients or former clients between the years of 2001 and 2003.  Ameritrade notified the affected clients and offered one free year of credit protection services.",2005,41.254006,-95.999258
27,Carnegie Mellon University,Pennsylvania,HACK,educational,19000.0,"The compromised information included Social Security numbers and grades from master's alumni classes 1997 through 2004, job offer information from master's alumni classes 1985 through 2004, contact information for all alumni, and Social Security numbers and grades from doctoral students enrolled between 1998 and 2004.  Between 5,000 and 6,000 of those affected had their credit card information and Social Security numbers compromised. Emails and letters were sent to those who were affected.",2005,40.440625,-79.995886
28,Michigan State University's Wharton Center,Michigan,HACK,educational,40000.0,A hacker may have stolen the credit card information of visitors attending a performing arts venue.  Warnings were sent to Wharton visitors who used their credit cards anytime between September of 2003 and the incident.,2005,42.736979,-84.483865
29,Christus St. Joseph's Hospital,Texas,STAT,medical,16000.0,"Two computers used for converting paper medical records into digital files were stolen.  One of the computers contained Social Security numbers and medical records for hundreds of patients.  Letters were sent to about 16,000 patients.",2005,29.763284,-95.363272
30,Georgia Southern University,Georgia,HACK,educational,20000.0,"Hackers accessed a University server which contained thousands of credit card and Social Security numbers collected over three years.  Students who received bookstore credit through scholarship or financial aid between the fall 2003 and spring of 2005 semesters, and anyone who made credit purchases at campus stores, stadium, or website are at risk.  Email alerts were sent to students and alumni.",2005,32.448788,-81.783167
31,"Wachovia, Bank of America, PNC Financial Services Group and Commerce Bancorp ",New Jersey,INSD,financial,676000.0,Bank employees illegally sold account information to someone posing as a collection agency.  Customers affected were notified and received one year of free credit monitoring services.,2005,40.885933,-74.043474
32,Oklahoma State University,Oklahoma,PORT,educational,37000.0,A laptop used for student job placement seminars was lost or stolen.  It contained the Social Security numbers of current and former students.,2005,36.115607,-97.058368
33,"Time Warner, Iron Mountain Inc.",New York,PORT,online,600000.0,Backup tapes containing the personal information of current and former employees from as far back as 1986 was lost or stolen during shipping. An 800 number was set up to answer questions and provide free credit monitoring for one year.UPDATE (5/3/2005): A contractor named Iron Mountain Inc. lost the tapes during shipping. ,2005,40.714353,-74.005973
34,Colorado Health Department,Colorado,PORT,governmental,1600.0,"A laptop containing Social Security numbers, medical records, family medical history, and addresses was stolen from an employee's car.  The State Health Department is not monitoring the affected group and has only contacted some of the families involved.",2005,39.739154,-104.984703
35,Purdue University,Indiana,HACK,educational,11360.0,Hackers accessed a program which contained University credit card information and the Social Security numbers of current and former employees. Letters were sent to employees and former employees.,2005,40.425869,-86.908066
36,Department of Justice,District Of Columbia,PORT,governmental,80000.0,A laptop containing password protected names and travel account credit card information was stolen sometime between May 7 and May 9.,2005,38.895112,-77.036366
37,Stanford University,California,HACK,educational,9900.0,"The University's Career Development Center was hacked. This exposed the names, Social Security numbers, and other personal information of users. Names and credit card information for some employers that registered with the site were also in the database.",2005,37.424106,-122.166076
38,Hinsdale Central High School,Illinois,HACK,educational,2400.0,Two students were accused of hacking into the School's computer system and stealing student and staff Social Security numbers.  The students had the information for months before being caught.  Letters were sent to affected families. The Social Security Administration and the Federal Trade Commission were also notified.,2005,41.800864,-87.937005
39,Georgia Technology Authority (GTA),Georgia,INSD,governmental,465000.0,"A former computer programmer for Georgia Technology Authority downloaded state driver's license information which contained names, addresses, driver's license numbers, and in some cases Social Security numbers.",2005,33.748995,-84.387982
40,Westborough Bank,Massachusetts,INSD,financial,750.0,A former employee who ran an investment program from 1998 to 2001 may have given Social Security numbers and account information to a convicted felon known for defrauding senior citizens.  The bank mailed warning letters.,2005,42.269539,-71.616178
41,University of Iowa,Iowa,HACK,educational,30000.0,A computer containing credit card numbers and campus ID numbers for University Book Store customers was breached by a hacker.,2005,41.661128,-91.530168
42,Jackson Community College,Michigan,HACK,educational,8000.0,"A hacker may have downloaded the passwords and Social Security numbers of employees and students.  The College sent new, high security passwords to students and employees.",2005,42.245869,-84.401346
43,Valdosta State University,Georgia,HACK,educational,40000.0,A computer server containing campus ID card information and Social Security numbers was hacked. The cards were designed to be used as debit cards by students and employees.,2005,30.832702,-83.278485
44,Cleveland State University,Ohio,PORT,educational,44420.0,"A laptop containing personal information from applicants, current students, and former students was stolen from the University's admissions office.  The information included Social Security numbers and addresses from as far back as 2001.  Letters were sent to those affected.   UPDATE 
            (12/24/05):CSU 
            found the stolen laptop",2005,41.499495,-81.695409
45,Merlin Information Services,Montana,INSD,online,5875.0,"An individual fraudulently obtained personal information about thousands of victims 
from Merlin Information Services and used that information to commit 
identity theft by opening up credit card accounts. He posed as a private investigator, thus giving Merlin the impression that he was a legitimate user of their services. He conducted at least 1,873 queries through the Merlin system to 
obtain information on approximately 5,875 people.

",2005,48.200531,-114.315102
46,Duke University Medical Center,North Carolina,HACK,educational,14000.0,"A hacker broke into the computer system, stealing thousands of passwords and fragments of Social Security numbers.  Fourteen thousand affected people were notified, including 10,000 employees of Duke University Medical Center.",2005,35.994033,-78.898619
47,"Citigroup, UPS",New York,PORT,financial,3900000.0,Customers are being notified that backup tapes containing their account information were lost or stolen while being shipped by UPS.,2005,40.714269,-74.005973
48,Federal Deposit Insurance Corp. (FDIC),District Of Columbia,UNKN,governmental,6000.0,"Personal information including the names, birthdays, salaries, and Social Security numbers of former Federal Deposit Insurance Corporation employees was stolen.  Some of the information was used for fraudulent purposes.  Affected employees from as far back as July 2002 were notified.",2005,38.895112,-77.036366
49,CardSystems,Arizona,HACK,financial,40000000.0,"Over 40 million card accounts 
            were exposed to potential fraud due to a security breach that occurred 
            at a third-party processor of payment card transactions. Of the more 
            than 40 million accounts exposed, information on 68,000 Mastercard 
            accounts, 100,000 Visa accounts and 30,000 accounts from other card 
            brands are known to have been exported by the hackers. The data exported 
            included names, card numbers and card security codes.UPDATE (2/23/2006) CardSystems agreed to settle Federal Trade Commission charges that it failed to take appropriate security measures to protect sensitive personal information. The company must implement a comprehensive security program and obtain audits every 2 years for 20 years.UPDATE (5/12/2006) CardSystems filed for bankruptcy.UPDATE
            (5/28/2009)

            Merrick Bank has launched a multi-million dollar lawsuit against Savvis, 
            accusing the vendor of erroneously telling it that CardSystems Solutions 
            complied with Visa and MasterCard security regulations less than a 
            year before the payment processor's systems were hacked, compromising 
            up to 40 million credit card accounts. Less than a year later the 
            security breach occurred. Hackers were able to get hold of the data 
            because CardSystems kept unencrypted card information on its servers 
            - in contravention of the regulations for which Savvis certified it. ",2005,32.221743,-110.926479
50,Kent State University,Ohio,PORT,educational,1400.0,"A laptop containing the names, Social Security numbers, and in some cases birthdays of current and former University employees was stolen from a human resources administrator's car.  ",2005,41.153667,-81.357886
51,University of Hawai'i,Hawaii,INSD,educational,150000.0,"A former librarian with access to the personal information of students, faculty, staff and patrons was convicted of Social Security fraud.  The former librarian used Social Security information to obtain fraudulent loans.  The University used Social Security numbers to track who checked out library materials. At the time of the press release it was unclear whether any information had been stolen from the University.",2005,21.306944,-157.858333
52,Eastman Kodak,New York,PORT,online,5800.0,"A password-protected laptop containing former employee names, Social Security numbers, birth dates, and benefits information was stolen from a consultant's car trunk. The consulting company has been identified as Hewitt Associates. Kodak sent letters and offered one-year of credit monitoring services and identity theft insurance covering up to $50,000 in fraud.",2005,43.154785,-77.615557
53,University of Connecticut  (UCONN),Connecticut,HACK,educational,72000.0,"University officials became aware of an October 26, 2003 hacking incident.  The personal information included Social Security numbers and addresses for students, faculty, and staff.  The University began contacting those affected in June of 2005.",2005,41.808431,-72.249523
54,U.S. Department of Veterans Affairs,Minnesota,PORT,governmental,66.0,"A laptop being stored in 
            the trunk of a car was stolen in Minneapolis, Minnesota. Two people 
            later reported identity fraud problems.",2005,44.979965,-93.263836
55,Lucas County Children Services,Ohio,DISC,governmental,900.0,"Data from around 500 former and 400 current employees from as far back as 1991 were sent outside the organization via e-mail.  The data included names, Social Security numbers, and telephone numbers.  Current employees were contacted immediately and letters were sent to former employees.",2005,41.663938,-83.555212
56,Bank of America,North Carolina,PORT,financial,18000.0,"A laptop containing the names, Social Security numbers, and addresses of customers was stolen from a consultant's car.",2005,35.227087,-80.843127
57,"Ohio State University Medical Center, MTE Consulting",Ohio,PORT,medical,15000.0,A laptop containing patient information was stolen from a financial consultant.  MTE Consulting notified OSU medical center a month after the laptop was stolen and OSU sent a brief letter to the affected clients.,2005,39.961176,-82.998794
58,University of California San Diego,California,HACK,educational,3300.0,"A University server was hacked in April.  The server contained Social Security numbers, driver's license numbers, and credit card numbers from people who attended or worked at UCSD Extension between the time of the incident and 2000.  UCSD contacted those who were affected two months after the incident.",2005,33.8575,-117.87556
59,Michigan State University,Michigan,HACK,educational,27000.0,"Student information was compromised during an attack on the College of Education server.  The information included Social Security numbers, names, addresses, student courses, and personal identification numbers.  The breach occurred in April and students were emailed in July.",2005,42.736979,-84.483865
60,University of Southern California (USC),California,DISC,educational,270000.0,A reporter contacted USC based on an individual's claim to be able to access personal information on college applicants online.  USC removed the site pending investigation and sent letters to affected individuals.,2005,34.052234,-118.243685
61,Arizona Biodyne,Arizona,PORT,medical,57000.0,"A safe with computer backup tapes containing financial, personal and medical records was stolen from Arizona Biodyne.  Policyholders' addresses, phone numbers, dates of birth and Social Security numbers were among the personal information lost.  Partial treatment histories and doctor information for some patients was also lost.  ",2005,33.448377,-112.074037
62,"University of Colorado, Boulder",Colorado,HACK,educational,49000.0,"Prospective students, current students, staff, faculty and University health care service recipients may have had their data exposed in a campus server breach.  The information included names, Social Security numbers, addresses, student ID numbers, birth dates, and lab test information. The University mailed letters and sent emails to the individuals affected.UPDATE
            (08/20/2005) The number of students affected was increased from an 
            estimate of 42,000 to 49,000.",2005,40.014986,-105.270546
63,Austin Peay State University,Tennessee,DISC,educational,1500.0,"The University removed student Social Security numbers, grade point averages and names that were accidentally posted.  A student alerted the University to the problem after searching his name and finding the information on the website.  A school employee put the internal documents on the website to email other staff members the information, but forgot to remove the information from the website.",2005,36.529771,-87.359453
64,San Diego County Employees Retirement Association,California,HACK,governmental,33000.0,"Two computers that contained personal information for current and retired San Diego County employees were hacked.  The information included names, addresses, Social Security numbers, and dates of birth.  The San Diego Retirement Association mailed warnings to members.",2005,32.715329,-117.157255
65,"California State University, Dominguez Hills ",California,HACK,educational,9613.0,Hackers accessed several computers containing personal information such as names and Social Security numbers.  The students who were affected were emailed.,2005,33.831406,-118.282017
66,California State Polytechnic University (Cal PolyPomona),California,HACK,educational,31077.0,"Hackers gained access to two computers containing names, Social Security numbers and transfer records.  Applicants, current students, current and former faculty, and staff were affected.",2005,34.055289,-117.752279
67,University of Colorado,Colorado,HACK,educational,36000.0,"Hackers accessed files containing names, photographs, Social Security numbers, and University meal card information.  Around 7,000 staff members, 29,000 current students, and some former students were affected.",2005,39.739154,-104.984703
68,Anderson College,North Carolina,PHYS,educational,800.0,A bag with student resident hall assignments was found on campus.  The paperwork also had the students' Social Security numbers.  The documents were destroyed and a new program that will prevent unauthorized faculty and staff from accessing student Social Security numbers was developed.,2005,36.267081,-79.345299
69,Madison Area Technical College,Wisconsin,PHYS,educational,100.0,"A news crew found around 100 applications in a MATC dumpster.  The applications showed names, contact information, Social Security numbers, birth dates, academic records and canceled checks.  The applications and transcripts go back to at least 2002.  The College agreed to lock the dumpster and destroy documents in a trash compactor on a more frequent basis.  It did not state that it would begin shredding documents before dumping them.",2005,43.073052,-89.40123
70,University of Utah,Utah,HACK,educational,100000.0,A server containing library archival databases was hacked.  The server included names and Social Security numbers of former University employees.  The University issued a warning that people may try to get personal information by posing as University officials involved in the investigation.,2005,40.760779,-111.891047
71,Sonoma State University,California,HACK,educational,61709.0,"Hackers broke into a computer system and may have accessed the names and Social Security numbers of people who applied, attended, or worked at the University between 1995 and 2002.  University officials attempted to notify those who were affected.",2005,38.339637,-122.701098
72,University of North Texas,Texas,HACK,educational,39000.0,"A server containing housing records, financial aid inquiries, and in some cases credit card numbers was hacked.  UNT sent letters to current, former, and prospective students whose information may have been accessed.",2005,33.214841,-97.133068
73,"California State University, Stanislaus",California,HACK,educational,900.0,The names and Social Security numbers of student workers were exposed during a hacker attack.  The student workers were contacted by the University.,2005,37.494657,-120.846594
74,University of Colorado,Colorado,HACK,educational,49000.0,"A hacker may have gained access to personal information from June of 1999 to May of 2001, and fall of 2003 to summer of 2005.  The information included current and former student names, Social Security numbers, addresses and phone numbers.  The University contacted individuals who were affected.",2005,39.739154,-104.984703
75,U.S. Air Force,District Of Columbia,HACK,governmental,33300.0,"A hacker used a legitimate user ID and password to access career information, birth dates, and Social Security numbers.  Those affected were notified several months after the breach was discovered.",2005,38.895112,-77.036366
76," University of Florida, Health Sciences Center, ChartOne",Florida,PORT,educational,3851.0,"A contractor's laptop containing patient names, Social Security numbers, dates of birth, and medical record numbers was stolen.  A letter was sent to the affected patients.",2005,29.651634,-82.324826
77,Stark State College of Technology,Ohio,DISC,educational,7058.0,"Students attempting to access their grades, financial aid information and academic standing were able to view the information of other students.  Social Security numbers, GPA, and course enrollment were viewable.  A glitch is believed to be the source of the problem.",2005,40.875891,-81.402336
78,"California State University, Chancellor's Office ",California,HACK,educational,154.0,A computer virus attack exposed names and Social Security numbers. Those affected included two financial aid administrators and 152 students enrolled at various Cal State Universities.  Those affected were contacted.,2005,33.766962,-118.189235
79,Iowa Student Loan,Iowa,PORT,financial,165000.0,"A compact disk containing 
            personal information, including SSNs, was lost when shipped by private 
            courier.",2005,41.577212,-93.711332
80,Kent State University,Ohio,STAT,educational,100000.0,"Five desktop computers were stolen from the locked offices of two deans. Names, Social Security numbers, and grades were on the computers.  The information goes back to 2000 for students and 2002 for instructors.  Affected students and professors were alerted by the University.",2005,41.153667,-81.357886
81,Fort Carson,Colorado,PORT,governmental,9300.0,"Four computer hard drives were stolen from the Soldier Readiness Processing center during the weekend of August 20.  Personnel records with names, Social Security numbers, ages, ranks, jobs, citizenship information and unit affiliations of soldiers, civilian federal employees and contractors who had been processed through the center since January were on the hard drives.",2005,38.833882,-104.821363
82,Miami University,Ohio,DISC,educational,21762.0,A report containing Social Security numbers and grades of students was accessible online for three years.  The University is attempting to contact those affected via letters and emails.  A graduate alerted the University to the exposure after running a Google.com search of her name.,2005,39.399501,-84.561336
83,North Fork Bank (now Capital One Bank),New York,PORT,financial,9000.0,"A laptop containing mortgage data was stolen from a North Fork Bank office on the weekend of July 24 of 2005.  Personal information included names, addresses, and mortgage account numbers.  Affected customers were contacted and offered one year of free credit monitoring services from Equifax.",2005,40.714269,-74.005973
84,Children's Health Council,California,PORT,non-governmental,6700.0,"A tape containing sensitive information was stolen from a Children's Health Council office. The tape contained names, Social Security numbers, and detailed medical information for around 6,000 current and former clients.  Payroll information for 700 current and former employees was also on the tape.  The agency alerted those who may be at risk of identity theft.",2005,37.339386,-121.894956
85,City University of New York,New York,DISC,educational,771.0,"An unprotected payroll link exposed personal information for Hunter College Campus Schools.  Those affected included 335 Queens College law school students, 265 current workers and 171 former workers at local elementary and high schools.  All affected people were contacted.",2005,40.714269,-74.005973
86,Internal Revenue Service (IRS),California,PHYS,governmental,30000.0,"A truck carrying checks with tax information for the self-employed was involved in an accident on the San Mateo Bridge.  Wind blew about 30,000 pieces of mail into the bay and beyond.  The IRS agreed to waive penalties and interest for anyone whose payment was affected.",2005,37.77493,-122.419416
87,RBC Dain Rauscher,Minnesota,INSD,financial,300000.0,"Someone claiming to be a former employee obtained customer names, addresses, tax ID number, birth date and Dain Rauscher account number.  The former employee sent letters to over 100 customers and claimed that their personal information had been sold in retaliation against the company.",2005,44.979965,-93.263836
88,University of Georgia,Georgia,HACK,educational,1600.0,"A hacker may have accessed the names and Social Security numbers of at least 1,600 people working for the College of Agricultural and Environmental Sciences.  The University is attempting to contact individuals who may have been affected.",2005,33.960948,-83.377936
89,Ohio State University Medical Center,Ohio,DISC,medical,2800.0,"Appointment 
            information including Social Security numbers, birth dates, addresses, phone numbers, medical record numbers, reasons for appointments, and physicians was exposed online.",2005,39.961176,-82.998794
90,Montclair State University,New Jersey,DISC,educational,9100.0,Names and Social Security numbers of undergraduates were posted online for nearly four months.  An undergraduate alerted the University after running a Google.com search of his name.  The University warned all students of the problem.,2005,40.825933,-74.209034
91,Monmouth University,New Jersey,DISC,educational,677.0,The names and Social Security numbers of 677 students were posted online for over four months.  The University corrected the error and notified students after a student notified them of the problem.  A glitch seems to have caused the information to be found through a simple Internet search.,2005,40.290389,-74.017638
92,Wilcox Memorial Hospital,Hawaii,PORT,medical,130000.0,"A backup computer data drive containing medical record numbers, addresses, names and Social Security numbers of current and former patients was lost.  Letters have been sent to affected patients.",2005,21.981111,-159.371111
93,University of Tennessee,Tennessee,DISC,educational,1900.0,Nineteen hundred students and employees had their names and Social Security numbers posted on the Internet from spring of 2004 until the discovery in October of 2005.  A student searched her name and found it listed with her Social Security number on a UT email discussion group site.  Information pertaining to individuals who had either paid or owed small amounts of money to the University was shared among 10 employees and the information technology office.  The information was mistakenly coded as public rather than private.,2005,35.960638,-83.920739
94,University of Tennessee Medical Center,Tennessee,PORT,medical,3800.0,"A laptop was stolen from the University's medical billing office.  Personal information lost included names, Social Security numbers and birth dates.  Affected patients were not informed of the theft for nearly two months.",2005,35.960638,-83.920739
95,"Keck School of Medicine, University of Southern California (USC)",California,STAT,educational,50000.0,"A computer server containing names and Social Security numbers of patients, donors and employees was stolen from a campus computer room.",2005,34.052234,-118.243685
96,"Safeway, Hawaii ",California,PORT,social,1400.0,A division director's laptop was stolen.  Names and Social Security numbers of some Hawaii workers were compromised by the theft.  The theft occurred in August and letters were sent to affected employees in October.,2005,37.662431,-121.874679
97,TransUnion Credit Bureau,Pennsylvania,STAT,financial,3623.0,A desktop containing Social Security numbers and other information was stolen from a regional sales office in California.  Affected consumers were notified and offered one year of free credit monitoring services.,2005,39.849557,-75.355746
98,Georgia Tech University Office of Enrollment Services,Georgia,STAT,educational,13000.0,"On October 16 of 2005 computers were stolen from campus which contained the names, Social Security numbers, addresses and birth dates of current and prospective students. Notifications were sent to those who were affected.",2005,33.748995,-84.387982
99,Indiana University Kelley School of Business,Indiana,HACK,educational,5278.0,"A hacker may have accessed the names, Social Security numbers and grades of students who enrolled in Introduction to Business courses between 2001 and 2005.  The computer may have been hacked and installed with malware as early as August.  A representative believes the breach occurred because the files were stored on a computer that did not have current anti-virus and system-protection software.",2005,39.768377,-86.158042
100,Boeing,Illinois,PORT,online,161000.0,"A laptop containing names, Social Security numbers, bank account information and other human resources data was stolen.  Affected current and former employees were notified.",2005,41.850033,-87.650052
101,University of Delaware,Delaware,HACK,educational,952.0,"Two separate departments were breached by hacking within a short period of time.  A School of Education computer with the names and Social Security numbers of 772 students registered in online education courses was attacked in late August.  A Department of English computer that had the Social Security numbers of 180 faculty, graduate assistant and other teaching staff from the department was also hacked in August.  The larger breach appears to be the result of someone attempting to establish an illegal movie sharing system.  The smaller breach was a possible attempt to log onto and control one server in order to gain control over servers of other campuses.  Those affected received notification and Social Security numbers have been removed from both servers.",2005,39.683723,-75.749657
102,University of San Diego,California,HACK,educational,7800.0,"Hackers gained access to computers containing personal income tax data, including Social Security numbers, names, and addresses.  Faculty members, students and vendors had their information compromised and were notified by the University.",2005,32.715329,-117.157255
103,First Trust Bank,Tennessee,PORT,financial,100000.0,A man claiming to be a janitor bypassed security and stole a laptop from the bank.  The laptop contained Social Security numbers and other personal information of current and former customers.  Affected customers were contacted and the theft was caught on tape.,2005,35.149534,-90.04898
104,Cornell University,New York,HACK,educational,900.0,"The University discovered a security breach last summer that exposed names, addresses, 
            Social Security numbers, bank names and account numbers.",2005,42.440628,-76.496607
105,Washington State Employment Security Department,Washington,PORT,governmental,530.0,"A laptop was stolen from the trunk of an auditor's car. Names, Social Security numbers 
            and earnings of former employees from 2002 to 2005 were exposed.  The Employment Security Department does not have all of the contact information for those affected and used the media to help notify those whose information was compromised.  The laptop contained unemployment insurance reports for 49 Seattle businesses that were undergoing routine audits by Employment Security between November 2004 and October 2005..",2005,47.037874,-122.900695
