,entity,records lost,year,story,sector,method,data sensitivity,records adjusted
20,Gamigo,8000000.0,2012,"Jul 2012. 4 months after the gaming site Gamigo warned users about a hacker intrusion that accessed some portions of its users' credentials, more than 8 million usernames, emails & encrypted passwords from the site have been published on the web",web,hacked,1,8.0
21,Militarysingles.com,163792.0,2012,"Mar 2012. Collective group LulzSec released a database of 163,792 names, usernames, e-mail addresses, IP addresses, and passwords of ""single"" military personnel.",web,hacked,1,0.163792
22,Tianya,40000000.0,2013,Jul 2013. China's biggest online forum confirmed that private information for 40 million users had been leaked,web,hacked,1,40.0
23,Scribd,500000.0,2013,Apr 2013. Hack resulted in a few hundred thousand stolen passwords (figure is approximate),web,hacked,1,0.5
24,Living Social,50000000.0,2013,"Apr 2013. Online criminals gained access to user names, e-mail addresses, dates of birth & encrypted passwords for 50 million people. Databases storing financial information were not compromised in the attack, the company said.",web,hacked,1,50.0
25,Yahoo,3000000000.0,2013,"Dec 2016. Happened in 2013 but only disclosed late 2016. Data included names, telephone numbers, DOBs, passwords and security questions. ",web,hacked,2,3000.0
26,SnapChat,4700000.0,2013,"Jan 2014. Hackers abused an exploit to syphon 4.7m user details, including phone numbers. ",web,hacked,2,4.7
27,Twitter,250000.0,2013,"Feb 2013. Hackers had access to limited user information -- usernames, email addresses, session tokens and encrypted/salted versions of passwords -- for approximately 250,000 users.",web,hacked,1,0.25
28,Apple,275000.0,2013,"Jul 2013. Developer portal hacked. ""Some"" information about 275,000 3rd-party developers potentially stolen.",web,hacked,1,0.275
29,Ubuntu,2000000.0,2013,July 2013. Discussion forum for the operating system was compromised leaking personal details and password. The passwords were cryptographically scrambled using the MD5 hashing algorithm - considered an inadequate means of protecting stored passwords by security experts.,web,hacked,3,2.0
30,Facebook,6000000.0,2013,"Jun 2013. Using the network's ""Download Your Information"" tool, some Facebook members were inadvertently sent the phone numbers or email address of Facebook friends that were otherwise private. Facebook assured users that the bug was fixed within a day, and that there is no evidence that the information was used maliciously.",web,oops!,1,6.0
31,Evernote,50000000.0,2013,"Mar 2013. Evernote asked its 50 million users to reset their passwords following an attempt to hack the note-taking network. The company said it’d found no evidence that any payment information for Evernote Premium or Evernote Business customers had been accessed, nor was there any indication that content stored by users had been accessed, changed or lost.",web,hacked,1,50.0
32,Yahoo Japan,22000000.0,2013,May 2013. 22 million Yahoo user IDs may have been leaked after Yahoo detected an unauthorized attempt to access the administrative system of its web portal Yahoo Japan. The leaked information did not include passwords and data necessary for identity verification to reset passwords.,web,hacked,1,22.0
33,Drupal,1000000.0,2013,"May 2013. Malicious files placed on association.drupal.org servers via a 3rd-party application. Exposed usernames, e-mail addresses, country information, and cryptographically hashed passwords.",web,hacked,1,1.0
34,MacRumours.com,860000.0,2013,"Nov 2013. The MacRumors intrusion involved ""a moderator account being logged into by the hacker who then was able to escalate their privileges with the goals of stealing user login credentials",web,hacked,1,0.86
35,ssndob.ms,4000000.0,2013,"Sep 2013. SSNDOB was an underground identity theft service. Teenage hackers used it to collect data for exposed.su, a site that listed the SSNs, birthdays, phone numbers, current and previous addresses for dozens of top celebrities including Beyonce, Kanye West and Michelle Obama. In doing so they revealed SSNDOB had data on more than 4 million people.",web,hacked,2,4.0
36,AOL,2400000.0,2014,Apr 2014. Users' accounts were compromised to send out spam messages.,web,hacked,1,2.4
37,Ebay,145000000.0,2014,May 2014. The company has said hackers attacked between late February and early March with login credentials obtained from “a small number” of employees. They then accessed a database containing all user records and copied “a large part” of those credentials.,web,hacked,1,145.0
38,"""Gmail""",5000000.0,2014,"Sep 2014. 5 million Gmail account passwords leaked to a forum, alongside passwords from other email providers. Close inspection revealed the user details to be old (3+ years). Multiple individual targeted hacks of third party websites where people used their Gmail IDs, rather than one big dataleak, suspected to be the method. Gmail itself was not hacked. ",web,hacked,1,5.0
39,Mozilla,76000.0,2014,"Aug 2014. Members of Mozilla’s developer community have been alerted about an accidental leak of email addresses and encrypted passwords, after the failure of a “data sanitisation” process the organisation was carrying out.",web,poor security,2,0.076
40,Deep Root Analytics,198000000.0,2015,Dec 2015. A database of 198 million US voters has been exposed as a result of incorrect configuration.,web,poor security,2,198.0
41,Kromtech,13000000.0,2015,"Dec 2015. A security researcher stumbled on a leak, which exposed usernames, email addresses and passwords of users. He notified Kromtech, who patched it quickly. ",web,hacked,1,13.0
42,Sanrio,3300000.0,2015,"Dec 2015. Security researcher was able to access a database of 3.3m of Sanrio's Sanriotown.com accounts, with links to other Sanrio Hello Kitty portals.",web,poor security,2,3.3
43,VTech,6400000.0,2015,"Dec 2015. Software used to download games to children's computer tablets was hacked, with personal info and photos stolen. ",web,hacked,5,6.4
44,Hacking Team,500000.0,2015,"Jul 2015. Italian cybersecurity firm sells digital surveillance software to law enforcement and national security organisations. 400 GB of documents - including software source code, private messages & client databases - has been stolen and put online  via BitTorrent. The documents show the company has sold products to repressive regimes.",web,hacked,5,0.5
45,AshleyMadison.com,37000000.0,2015,"Jul 2015. Online hookup site for extra-marital affairs has been severely breached and the personal details of 37m users, as well as company financial records, threatened with release. Notorious hacking outfit The Impact Team has claimed responsibility. The hackers demanded the shutdown of AM.com and other associated sites.",web,hacked,1,37.0
46,Adult Friend Finder,3900000.0,2015,"May 2015. Sexual preferences, names, email addresses, usernames, dates of birth, postal codes.",web,hacked,1,3.9
47,Securus Technologies,70000000.0,2015,"Nov 2015. Anonymous hacker leaked records of over 70m phone calls, plus links to recordings. Recording/storing attorney-client calls potentially violates constitutional protections.",web,hacked,5,70.0
48,LinkedIn,117000000.0,2016,May 2016. What initially seemed to be a theft of 6.5 million passwords has actually turned out to be a breach of 117 million passwords.,web,hacked,1,117.0
49,Tumblr,65000000.0,2016,"May 2016. Tumblr claimed it just found out about a 2013 data breach, which independent researchers claim affected 65m users. ",web,hacked,1,65.0
50,Yahoo,500000000.0,2016,"Sep 2016. Happened in 2014, but no. records stolen was originally thought to be much smaller. Yahoo revealed the real numbers in 2016.",web,hacked,2,500.0
51,Mail. ru,25000000.0,2016,Aug 2016. Two hackers attacked three game-related forums hosted by Russian company Mail.ru.,web,hacked,2,25.0
52,Dropbox,68700000.0,2016,"Aug 2016. User credentials were stolen in a 2012 hack, but the number affected has only just come to light. ",web,hacked,1,68.7
53,PayAsUGym,300000.0,2016,Dec 2016. Fitness website hacked & email address published online.,web,hacked,1,0.3
54,Lynda.com,9500000.0,2016,"Dec 2016. Hackers breached a database that held records of contact info and courses viewed. No official statement yet on how many records were actually stolen, and no evidence yet of them having been published anywhere.",web,hacked,1,9.5
55,Linux Ubuntu forums,2000000.0,2016,"Jul 2016. 2 million usernames, email addresses, and IP addresses associated with the Ubuntu Forums were taken by an unnamed attacker. The attacker was able to exploit an SQL injection vulnerability in an add-on used by older vBulletin forum software.",web,hacked,1,2.0
56,uTorrent,35000.0,2016,"Jun 2016. It's unclear what data has been breached, exactly, but uTorrent has advised passwords are probably compromised. ",web,hacked,1,0.035
57,VK,100544934.0,2016,"Jun 2016. Over 100m user accounts were hacked and the data put up for sale online. A VK spokesperson has denied that the site was breached, claiming the data for sale is old details no longer in use.",web,hacked,4,100.544934
58,KM.ru & Nival,1500000.0,2016,"Mar 2016. A teen hacker has randomly hacked several Russian websites. In a statement, he claims the hack was revenge for the MH17 crash. The companies affected have not commented, however Troy Hunt, a security researcher, has confirmed its legit. Nival and KM.ru were both hacked. ",web,hacked,4,1.5
59,Fling,40000000.0,2016,"May 2016. A hacker claims to be selling info on sexual desires & preferences, as well as generic personal info, stolen from the dating site Fling. The data is allegedly from 2011.  ",web,hacked,4,40.0
60,MySpace,164000000.0,2016,"May 2016. The same hacker who was selling LinkedIn user data now claims to have MySpace user data too, and lots of it. ",web,hacked,1,164.0
61,Dailymotion,85200000.0,2016,"Dec 2016. 85.2m email addresses extracted, but only 18.3m had associated passwords.",web,hacked,1,85.2
62,Weebly,43000000.0,2016,"Oct 2016. Usernames, passwords and IP addresses stolen, although passwords secured with bcrypt. ",web,hacked,4,43.0
63,Interpark,10000000.0,2016,July 2016. South Korean police are blaming North Korea for stealing data in an attempt to obtain foreign currency.,web,hacked,2,10.0
64,Friend Finder Network,412000000.0,2016,"Nov 2016. Usernames, email addresses, passwords for sites including Adult Friend Finder and Penthouse.com. Passwords encrypted, but LeakedSource claims to be able to crack 99% of them.",web,hacked,1,412.0
65,Brazzers,790724.0,2016,"Sep 2016. 'The data contains 790,724 unique email addresses, and also includes usernames and plaintext passwords. (The set has 928,072 entries in all, but many are duplicates.'",web,hacked,4,0.790724
66,ClixSense,6600000.0,2016,"Sep 2016. The information stolen contains usernames, passwords, home addresses, payment histories, and other banking details.",web,hacked,5,6.6
67,Disqus,17500000.0,2017,"Dec 2017. Hackers stole 17.5m email addresses in 2012. About a third of those accounts contained passwords, which were hashed using the dated SHA-1 algorithm",web,hacked,4,17.5
68,RootsWeb,300000.0,2017,"Dec 2017. Ancestry.com's community-driven site RootsWeb was exposed after passwords, email addresses and usernames were leaked from the server. ",web,poor security,4,0.3
69,Yahoo,32000000.0,2017,Mar 2017. User accounts have been hacked using forged cookies to log in without a password over a 2 year period.,web,hacked,4,32.0
70,Spambot,711000000.0,2017,"Aug 2017. A misconfigured spambot has leaked over 700m records, although many of them are likely to be fake or repeated accounts.",web,poor security,4,711.0
71,River City Media,1370000000.0,2017,"Mar 2017. A dodgy backup has allegedly resulted in over a billion leaked email addresses, plus other personal info in some cases, and has exposed RCM's business plans & operations. ",web,oops!,2,1370.0
72,DaFont,700000.0,2017,"May 2017. Apparently the hacker found out others were selling the site's database, so he decided to get in on the action himself.",web,hacked,4,0.7
73,Zomato,17000000.0,2017,May 2017. The hacker is selling the stolen dataset for around $1000.,web,hacked,4,17.0
74,Instagram,6000000.0,2017,"Sep 2017. A bug exposed user's contact information. Instagram initially said it affected only verified accounts, but has now admitted non-verified users were also affected. Instagram hasn't confirmed numbers, but hackers say they have info from 6m accounts.",web,hacked,1,6.0
75,Viacom,3000000.0,2017,Sep 2017. A misconfigured Amazon Web Server S3 cloud storage bucket was left wide open and public facing.,web,hacked,4,3.0
76,Chinese resume leak,202000000.0,2018,"Dec 2018. The leaked info included name, working experience, mobile phone number, email, marriage status, children, politics, height, weight, driver license, & literacy level. The origin of the data is unknown. ",web,poor security,2,202.0
77,WordPress,76500000.0,2018,"Aug 2018. According to security researchers, WordPress was notified of a security vulnerability over a year ago, but did not address it. No reports have been received which suggest the exploit is being actively used in the wild.",web,poor security,1,76.5
78,Google+,52500000.0,2018,"Dec 2018. A new vulnerability could have exposed users' personal details to developers, even if their profiles were set to private. Google will now shut down the consumer version of the social network 4 months earlier than planned. ",web,poor security,2,52.5
79,Quora,100000000.0,2018,"Dec 2018. Compromised: logins for around 100m visitors who use the site to ask and answer questions about politics, faith, calculus, unrequited love, the meaning of life and more",web,hacked,1,100.0
80,Facebook,50000000.0,2018,"Mar 2018. Cambridge Analytica, headed at the time by Steve Bannon, harvested 50m profiles in early 2014 to build a system that could profile US voters and target them with political adverts. ",web,hacked,1,50.0
81,MyHeritage,92283889.0,2018,Jun 2018. Email addresses and encrypted passwords were stolen. As yet there is no evidence that the hackers have used the data.,web,hacked,1,92.283889
82,Texas voter records,14800000.0,2018,"Aug 2018. A single file containing 14.8 million records was left on an unsecured server without a password. Data exposed included name, address, gender, and voting history. ",web,poor security,2,14.8
83,Ticketmaster,40000.0,2018,"Jun 2018. Malicious software on third-party customer support product Inbenta Technologies caused the hack, and was likely to have affected UK customers who bought tickets between Feb and June 2018. ",web,hacked,3,0.04
84,Orbitz,880000.0,2018,"Mar 2018. An old version of the travel website was hacked, exposing personal details and payment card info. Orbitz is now owned by Expedia. ",web,hacked,3,0.88
85,LocalBlox,48000000.0,2018,"May 2018. A cloud storage repository was left publically accessible. Data included names, addresses, DOBs, social media info etc. ",web,poor security,2,48.0
86,TicketFly,27000000.0,2018,"Aug 2018. Names, addresses, email addresses and phone numbers were stolen. ",web,hacked,2,27.0
87,High Tail Hall,411000.0,2018,"Nov 2018. Hackers were able to obtain email addresses, names, order histories, hashed passwords, & both physical and IP addresses for 411,000 High Tail Hall players.",web,hacked,2,0.411
88,Facebook,29000000.0,2018,Oct 2018. Malicious third-party scrapers collected profile information from many Facebook users.,web,hacked,2,29.0
89,Canva,139000000.0,2019,"May 2019. A hacker stole names, email addresses and location data for 139 million users of Australian graphic design startup Canva.",web,hacked,2,139.0
90,BreedReady,1800000.0,2019,"Mar 2019. A Dutch researcher looking for open databases in China found a database containing the personal information of more than 1.8 million women, including phone numbers, addresses, and something called ""BreedReady"" status.",web,poor security,4,1.8
91,ShareThis,41000000.0,2019,"Feb 2019. ShareThis was part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1,41.0
92,EyeEm,22000000.0,2019,"Feb 2019. EyeEm was part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1,22.0
93,Whitepages,18000000.0,2019,"Feb 2019. Whitepages was part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1,18.0
94,Fotolog,16000000.0,2019,"Feb 2019. Fotolog was part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1,16.0
95,BookMate,8000000.0,2019,"Feb 2019. BookMate was part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1,8.0
96,CoffeeMeetsBagel,6000000.0,2019,"Feb 2019. CoffeeMeetsBagel was part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1,6.0
97,Artsy,1000000.0,2019,"Feb 2019. Artsy was part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1,1.0
98,DataCamp,700000.0,2019,"Feb 2019. DataCamp was part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1,0.7
99,YouNow,40000000.0,2019,"Feb 2019. YouNow was part of the theft of 127 million records from eight websites, by the same hacker who previously stole 617 million online account details from 16 other sites. All were put up for sale on the dark web.",web,hacked,1,40.0
100,Ge.tt,1800000.0,2019,"Feb 2019. Ge.tt was part of the theft of 127 million records from eight websites, by the same hacker who previously stole 617 million online account details from 16 other sites. All were put up for sale on the dark web.",web,hacked,1,1.8
101,500px,14800000.0,2019,"Feb 2019. Photo-sharing site 500px announced that it was hacked in July 2018, exposing the personal information of 14.8 million accounts. The data included first and last names, usernames, email addresses, password hashes (i.e. not plaintext passwords), location (i.e. city, state, country), birth date, and gender.",web,hacked,2,14.8
102,Indian Jobseekers,275265298.0,2019,"May 2019. A huge MongoDB database exposing records of Indian citizens was left unprotected on the Internet for more than two weeks. It's not clear who created the database.
",web,poor security,2,275.265298
103,Facebook,419000000.0,2019,"Sep 2019. Several unprotected databases were found online containing the phone numbers of Facebook users, as well as in some cases their name, gender and country.",web,poor security,2,419.0
104,BriansClub,26000000.0,2019,"Oct 2019. A site selling stolen payment card data was hacked and 26 million records were leaked. The leaked stolen records have now been invalidated, wiping a third of the tracked supply of stolen payment card records off the market.",web,hacked,3,26.0
105,Virginia Prescription Monitoring Program,531400.0,2009,"May 2009. A hacker, who was never arrested, demanded a $10 million ransom for a breach effecting 530,000 Virginians. Social security numbers may have been taken. The data was found in a database containing 35 million prescription records.",healthcare,hacked,2,0.5314
106,Virginia Dept. Of Health,8257378.0,2009,May 2009. An extortion demand posted on WikiLeaks sought $10 million to return over 8 million patient records and 35 million prescriptions allegedly stolen from Virginia Department of Health Professions.  All 36 servers were shut down  to protect records.,healthcare,hacked,4,8.257378
107,Health Net,1500000.0,2009,Nov 2009. A portable hard drive with seven years of personal and medical information on about 1.5 million Health Net customers was lost for six months before being reported.,healthcare,lost device,4,1.5
108,"AvMed, Inc.",1220000.0,2010,"Feb 2010. Two company laptops containing names, addresses, dates of birth, Social Security numbers and health-related information. ",healthcare,lost device,2,1.22
109,Blue Cross Blue Shield of Tennessee,1023209.0,2010,"May 2010. A thief stole 57 hard drives from the closet of a BlueCross call center in Chattanooga, Tenn. Data on the stolen hard drives was encoded but not encrypted. Bluecross stated there was no evidence the information was accessed due to the specialized nature of the hardware stolen. ",healthcare,lost device,2,1.023209
110,"Triple-S Salud, Inc.",398000.0,2010,Nov 2010. One or more employees of Medical Card System (illegally) accessed restricted areas of their website.,healthcare,lost device,4,0.398
111,"Emergency Healthcare Physicians, Ltd.",180111.0,2010,"May 2010. The stolen portable hard drive is believed to have contained records from 2003 to 2006 that included patient names, addressees, phone numbers, birth dates, Social Security numbers, and, in some cases, drivers' license numbers.",healthcare,lost device,4,0.180111
112,Colorado government,105470.0,2010,Jul 2010. State officials discovered that there was an unauthorized removal of a computer hard drive housed at the Office of Information Technology (OIT),healthcare,lost device,2,0.10547
113,Lincoln Medical & Mental Health Center,130495.0,2010,"Jun 2010. 130,495 patients lost their protected health information after seven CDs were lost in transit.",healthcare,lost device,4,0.130495
114,Puerto Rico Department of Health,515000.0,2010,"Sep 2010. Double whammy. Two separate breaches. On September 3rd, 2010 data on 115,000 people was stolen from unauthorized access of an electronic device, on the 21st they reported an additional 400,000 records were hacked. ",healthcare,hacked,4,0.515
115,New York City Health & Hospitals Corp.,1700000.0,2011,"Feb 2011. Computer backup tapes from the New York provider were stolen on Dec. 23, 2010, from a truck that was transporting them to a secure storage location. ",healthcare,lost device,4,1.7
116,"Seacoast Radiology, PA",231400.0,2011,"Jan 2011. Computer gamers hacked a server at Seacoast Radiology in Rochester in search of more bandwidth in November to play Call of Duty: Black Ops. In the process they also gained access to personal records of the more than 230,000 patients of the health center.",healthcare,hacked,2,0.2314
117,"South Shore Hospital, Massachusetts",800000.0,2011,"Sep 2011. South Shore Hospital hired a contractor to destroy files no longer in use and lost the shipment. The back-up computer files possibly contained names, addresses, phone numbers, dates of birth, Social Security numbers, driver’s license numbers, medical record numbers, patient numbers, health plan information, protected health information including diagnoses and treatments. As well as bank account and credit card numbers for some. Patients, employees, physicians, volunteers, donors, vendors and other business partners were effected. ",healthcare,lost device,5,0.8
118,"Ankle & foot Center of Tampa Bay, Inc.",156000.0,2011,"Jan 2011. The information hacked included information such as patient names, social security numbers, date of birth, home addressees, account numbers, and healthcare services and related diagnostic codes.",healthcare,hacked,4,0.156
119,Southern California Medical-Legal Consultants,300000.0,2011,"Jun 2011. Electronic files containing names and social security numbers of approximately 300,000 individuals who have applied for California workers’ compensation benefits had been exposed to unauthorized access.",healthcare,hacked,2,0.3
120,Accendo Insurance Co.,175350.0,2011,"Jun 2011. Mismailed letters which allowed some lines of sensitive information (medication name, date of birth, and member ID) to be visible through the envelope window. The mailings were addressed correctly and, to the knowledge of the company, were received by the intended recipients.",healthcare,poor security,2,0.17535
121,Health Net - IBM,1900000.0,2011,"Mar 2011. Several server drives, containing personal information of former and current employees, went missing.",healthcare,lost device,3,1.9
122,Eisenhower Medical Center,514330.0,2011,"Apr 2011. Stolen computer contained data listing patients' names, ages, dates of birth, medical record numbers and the last four digits of their social security numbers.",healthcare,lost device,4,0.51433
123,Spartanburg Regional Healthcare System,400000.0,2011,"May 2011. The stolen computer contained a password-protected file with Social Security numbers as well as names, addresses, dates of birth and medical billing codes.",healthcare,lost device,4,0.4
124,NHS,8600000.0,2011,Jun 2011. A laptop holding the unencrypted records of eight million patients went missing from an NHS store room and wasn't reported until 3 weeks later.,healthcare,lost device,4,8.6
125,Nemours Foundation,1055489.0,2011,Oct 2011. A health care organization that runs children’s hospitals reported the loss of 1.05 million records when data backup tapes were lost.,healthcare,lost device,4,1.055489
126,Sutter Medical Foundation,4243434.0,2011,"Nov 2011. A password protected but unencrypted company computer was stolen. The compromised database contained names, addresses, dates of birth, phone numbers, email addresses, medical record numbers and the name of each patient's health insurance plan. No medical records were stored on the computer.",healthcare,lost device,2,4.243434
127,Tricare,4901432.0,2011,"Sep 2011. The information for some 4.6 million active and retired military personnel, as well as their families, was on back up-tapes from an electronic health care record used to capture and preserve patient data from 1992 through September 7 2011. ",healthcare,lost device,4,4.901432
128,South Carolina Government,6400000.0,2012,"Apr 2012. A man was charged with five counts of violating medical confidentiality laws and one count of disclosure of confidential information after he gained access to personal information for more than 228,000 Medicaid beneficiaries.",healthcare,inside job,4,6.4
129,Emory Healthcare,315000.0,2012,"Apr 2012. The company 'misplaced' 10 discs containing sensitive information, including social security numbers. ",healthcare,lost device,4,0.315
130,Medicaid,780000.0,2012,"Apr 2012. The Utah Department of Technology Services had recently moved their claims records to a new server, and hackers believed to be operating out of Eastern Europe were able to circumvent the server’s multi-layered security system containing Social Security numbers for the Medicaid claims.",healthcare,hacked,5,0.78
131,Memorial Healthcare System,102153.0,2012,"Apr 2012. An employee of an affiliated physician’s office may have improperly accessed patient information through a web portal used by physicians who provide care and treatment at MHS. Specifically, patients’ names, dates of birth, and Social Security numbers.",healthcare,lost device,2,0.102153
132,"Affinity Health Plan, Inc.",344579.0,2013,Aug 2013. A rented photocopier used to copy health records did not have its hard-drive wiped before its return.,healthcare,lost device,4,0.344579
133,"Crescent Health Inc., Walgreens",100000.0,2013,"Feb 2013. Names, Social Security numbers, health insurance identification numbers, health insurance information, dates of birth, diagnoses, other medical information, disability codes, addresses, and phone numbers may have been exposed via a laptop theft.",healthcare,lost device,4,0.1
134,Advocate Medical Group,4000000.0,2013,"Aug 2013. 4,000,000 patient names, addresses, dates of birth, and Social Security numbers were contained in four computers stolen from an administrative building. Second biggest security breach ever reported to the Department of Health and Human Services (HHS).",healthcare,lost device,2,4.0
135,Community Health Systems,4500000.0,2014,"Aug 2014. Community Health Systems, which operates 206 hospitals across the US, had patient data from the last 5 years breached. Details included names, addresses, social security numbers. Suspected ""chinese hackers"" were thought responsible. Goal: identity theft.",healthcare,hacked,2,4.5
136,Carefirst,1100000.0,2015,"May 2015. Evidence suggests the attackers could have potentially acquired member-created user names created by individuals to access CareFirst’s website, as well as members’ names, birth dates, email addresses and subscriber identification number.",healthcare,hacked,1,1.1
137,Twitch.tv,10000000.0,2015,Mar 2015. Details unknown at this point. All Twitch's 10 million users have been requested to change their passwords.,healthcare,hacked,1,10.0
138,Premera,11000000.0,2015,"Mar 2015. Hack occured May 2014. ""could include names, date of birth, email address, address, telephone number, Social Security number, member identification numbers, bank account information, and claims information, including clinical information""",healthcare,hacked,5,11.0
139,Anthem,80000000.0,2015,"Feb 2015. Names, dates of birth, member ID/ social security numbers, addresses, phone numbers, email addresses and employment information.",healthcare,hacked,2,80.0
140,Banner Health,3700000.0,2016,Aug 2016. Hackers gained access to payment card data via food outlets at Banner Health locations.,healthcare,hacked,3,3.7
141,Mutuelle Generale de la Police,112000.0,2016,Jun 2016. Files uploaded to Google Drive by a 'malicious' employee. Data included home addresses. The leak came two weeks after a French police officer was murdered by ISIS-inspired attack.,healthcare,inside job,5,0.112
142,Red Cross Blood Service,550000.0,2016,Oct 2016. Info leaked includes data about 'at risk sexual behaviours',healthcare,oops!,4,0.55
143,Quest Diagnostics,34000.0,2016,"Dec 2016. The stolen data contained names, DOBs, lab results and some telephone numbers.",healthcare,hacked,4,0.034
144,Malaysian medical practitioners,81309.0,2017,"Oct 2017. Databases belonging to the Malaysian Medical Council (MMC), the Malaysian Medical Association (MMA), and the Malaysian Dental Association (MDA) have been leaked. The data is from 2014.",healthcare,hacked,4,0.081309
145,SingHealth,1500000.0,2018,"July 2018. Hackers stole personal details of 1.5 million patients, as well as the prescription details of 160,000 people, including prime minister Lee Hesien Loong.",healthcare,hacked,4,1.5
146,Health South East,3000000.0,2018,Feb 2018. Health data was stolen from more than half of Norway's population.,healthcare,hacked,4,3.0
147,Healthcare.gov,75000.0,2018,"Oct 2018. ""Sensitive"" information on applicants for health insurance was hacked.",healthcare,hacked,4,0.075
148,CMS,93689.0,2018,"Nov 2018. CMS states that no protected health info, banking or tax details were breached, but personal info, insurance, income etc might have been exposed. ",healthcare,hacked,2,0.093689
149,Quest Diagnostics,11900000.0,2019,"June 2019. One of the biggest blood testing providers in the United States leaked  personal, financial and medical information due to a security issue with one of its vendors.",healthcare,poor security,4,11.9
